observation_date,HOUSTNSA
2010-01-01,38.9
2010-02-01,40.7
2010-03-01,54.7
2010-04-01,62.0
2010-05-01,56.2
2010-06-01,53.8
2010-07-01,51.5
2010-08-01,56.3
2010-09-01,53.0
2010-10-01,45.4
2010-11-01,40.6
2010-12-01,33.8
2011-01-01,40.2
2011-02-01,35.4
2011-03-01,49.9
2011-04-01,49.0
2011-05-01,54.0
2011-06-01,60.5
2011-07-01,57.6
2011-08-01,54.5
2011-09-01,58.8
2011-10-01,53.2
2011-11-01,53.0
2011-12-01,42.7
2012-01-01,47.2
2012-02-01,49.7
2012-03-01,58.0
2012-04-01,66.8
2012-05-01,67.8
2012-06-01,74.7
2012-07-01,69.2
2012-08-01,69.0
2012-09-01,75.8
2012-10-01,77.0
2012-11-01,62.2
2012-12-01,63.2
2013-01-01,58.7
2013-02-01,66.1
2013-03-01,83.3
2013-04-01,76.3
2013-05-01,87.2
2013-06-01,80.7
2013-07-01,84.0
2013-08-01,80.4
2013-09-01,78.4
2013-10-01,78.4
2013-11-01,83.8
2013-12-01,67.6
2014-01-01,60.7
2014-02-01,65.1
2014-03-01,80.2
2014-04-01,94.9
2014-05-01,92.5
2014-06-01,87.3
2014-07-01,101.0
2014-08-01,86.2
2014-09-01,94.2
2014-10-01,92.0
2014-11-01,75.8
2014-12-01,73.4
2015-01-01,73.0
2015-02-01,61.9
2015-03-01,79.7
2015-04-01,108.5
2015-05-01,99.6
2015-06-01,112.3
2015-07-01,107.2
2015-08-01,99.2
2015-09-01,111.6
2015-10-01,90.9
2015-11-01,89.9
2015-12-01,78.1
2016-01-01,74.3
2016-02-01,84.1
2016-03-01,90.7
2016-04-01,106.2
2016-05-01,105.0
2016-06-01,111.6
2016-07-01,115.2
2016-08-01,102.8
2016-09-01,95.0
2016-10-01,114.5
2016-11-01,87.8
2016-12-01,86.5
2017-01-01,82.3
2017-02-01,87.8
2017-03-01,97.1
2017-04-01,105.2
2017-05-01,106.0
2017-06-01,116.3
2017-07-01,112.3
2017-08-01,102.6
2017-09-01,104.4
2017-10-01,109.6
2017-11-01,97.9
2017-12-01,81.4
2018-01-01,91.6
2018-02-01,89.7
2018-03-01,107.2
2018-04-01,117.5
2018-05-01,123.7
2018-06-01,112.0
2018-07-01,111.9
2018-08-01,113.8
2018-09-01,109.7
2018-10-01,105.7
2018-11-01,91.2
2018-12-01,76.0
2019-01-01,87.0
2019-02-01,80.0
2019-03-01,98.2
2019-04-01,116.6
2019-05-01,118.1
2019-06-01,115.1
2019-07-01,114.2
2019-08-01,121.0
2019-09-01,113.2
2019-10-01,114.8
2019-11-01,103.4
2019-12-01,108.3
2020-01-01,113.1
2020-02-01,111.6
2020-03-01,104.5
2020-04-01,84.9
2020-05-01,95.1
2020-06-01,118.8
2020-07-01,138.7
2020-08-01,122.5
2020-09-01,126.3
2020-10-01,131.2
2020-11-01,117.8
2020-12-01,115.1
2021-01-01,115.2
2021-02-01,102.1
2021-03-01,140.6
2021-04-01,135.5
2021-05-01,145.7
2021-06-01,154.3
2021-07-01,143.9
2021-08-01,140.0
2021-09-01,135.2
2021-10-01,133.6
2021-11-01,130.8
2021-12-01,124.2
2022-01-01,121.0
2022-02-01,126.1
2022-03-01,142.6
2022-04-01,164.3
2022-05-01,140.6
2022-06-01,144.9
2022-07-01,123.7
2022-08-01,134.5
2022-09-01,127.5
2022-10-01,121.6
2022-11-01,111.1
2022-12-01,94.7
2023-01-01,97.7
2023-02-01,103.2
2023-03-01,114.0
2023-04-01,121.7
2023-05-01,146.0
2023-06-01,132.6
2023-07-01,131.4
2023-08-01,115.8
2023-09-01,117.0
2023-10-01,115.1
2023-11-01,116.5
2023-12-01,108.9
2024-01-01,97.9
2024-02-01,113.7
2024-03-01,109.8
2024-04-01,125.7
2024-05-01,120.9
2024-06-01,123.6
2024-07-01,115.3
2024-08-01,121.8
2024-09-01,116.1
2024-10-01,115.1
2024-11-01,99.2
2024-12-01,108.0
2025-01-01,95.0
2025-02-01,109.8
2025-03-01,112.9
2025-04-01,127.6
2025-05-01,117.8
2025-06-01,129.1
2025-07-01,129.4
2025-08-01,112.2
2025-09-01,114.1
2025-10-01,107.5
2025-11-01,100.9
2025-12-01,99.4
2026-01-01,97.6
2026-02-01,98.5
2026-03-01,126.3
